plasmid	contig	contig_len
GT_2	39	41620
GT_2	47	33693
GT_2	65	19972
GT_2	114	2087
GT_2	119	2037
GT_2	147	1227
GT_2	158	1015
GT_2	160	982
GT_2	167	926
GT_2	184	729
GT_2	193	684
GT_2	194	680
GT_2	199	666
GT_2	219	541
GT_2	225	520
GT_2	239	457
GT_2	253	420
GT_2	255	418
GT_2	263	398
GT_2	265	396
GT_2	267	394
GT_2	270	381
GT_2	273	376
GT_2	274	376
GT_2	276	373
GT_2	278	371
GT_2	285	355
GT_2	287	353
GT_2	291	343
GT_2	303	333
GT_2	312	323
GT_2	315	315
GT_2	324	302
GT_2	332	290
GT_2	338	279
GT_2	341	275
GT_2	342	273
GT_2	357	249
GT_2	376	230
GT_2	377	228
GT_2	378	228
GT_2	380	226
GT_2	388	223
GT_2	394	213
GT_2	396	211
GT_2	397	210
GT_2	400	205
GT_2	403	205
GT_2	404	204
GT_2	410	200
GT_2	415	196
GT_2	423	193
GT_2	434	184
GT_2	435	183
GT_2	436	182
GT_2	437	182
GT_2	454	173
GT_2	455	172
GT_2	464	166
GT_2	467	164
GT_2	469	162
GT_2	474	159
GT_2	483	154
GT_2	493	151
GT_2	496	146
GT_2	498	145
GT_2	501	143
GT_2	502	143
GT_2	505	141
GT_2	509	140
GT_2	510	140
GT_2	512	139
GT_2	514	138
GT_2	516	137
GT_2	520	135
GT_2	533	130
GT_2	534	129
GT_2	537	129
GT_2	538	129
GT_2	546	125
GT_2	548	125
GT_2	551	124
GT_2	558	121
GT_2	561	116
GT_2	563	115
GT_2	564	115
GT_2	566	113
GT_2	571	112
GT_2	573	111
GT_2	579	109
GT_2	583	107
GT_2	588	105
GT_2	589	105
GT_2	598	102
GT_2	600	102

